Name,Url,Comments
NVivo,https://www.qsrinternational.com/nvivo-qualitative-data-analysis-software/home
ATLAS.ti,https://atlasti.com/
MAXQDA,https://www.maxqda.com/
Dedoose,https://www.dedoose.com/
QDA Miner,https://provalisresearch.com/products/qualitative-data-analysis-software/qda-miner/
HyperRESEARCH,http://www.researchware.com/
Qualitative Data Analysis (QDA) Software,https://www.qdasoftware.org/,"Not a tool, but a website we already reviewed, hallucination?"
Transana,https://transana.org/
F4analyse,https://www.f4analyse.de/
CAQDAS,https://www.surrey.ac.uk/caqdassupport/,"Not a tool, but a website we already reviewed, hallucination?"
RQDA,https://rqda.r-forge.r-project.org/
Qualipedia,https://qualipedia.net/,"Domain parking, hallucination?"
Weft QDA,http://weft-qda.sourceforge.net/
Coding Analysis Toolkit (CAT),https://cat.gustavus.edu/
Salda,https://www.saldacommunity.com/,"Offline, hallucination?"
Qualis Research,https://qualisresearch.com/
Kwalitan,https://www.kwalitan.nl/
QCAmap,https://www.qcamap.org/
SAGE Research Methods,https://methods.sagepub.com/,"No software, hallucination?"
TAMS Analyzer,http://tamsys.sourceforge.net/
