Name,URL,Comments
NVivo,https://www.qsrinternational.com/nvivo-qualitative-data-analysis-software/home
ATLAS.ti,https://atlasti.com
MAXQDA,https://www.maxqda.com
Dedoose,https://www.dedoose.com
QDA Miner,https://provalisresearch.com/products/qualitative-data-analysis-software/
QDA Miner Lite,https://provalisresearch.com/products/qualitative-data-analysis-software/freeware/
Weft QDA,http://www.pressure.to/qda/
HyperRESEARCH,https://www.researchware.com
Quirkos,https://www.quirkos.com
Transana,http://www.transana.org
RQDA,https://rqda.r-forge.r-project.org
Leximancer,https://www.leximancer.com
f4analyse,https://www.f4research.com/software/
