Name,Url,Comments
Annotations,https://web.hypothes.is/
AnSWR,http://www.cdc.gov/hiv/library/software/answr/index.html
aquad,https://www.aquad.de/
ATLAS.ti,https://atlasti.com
C.A.T.,https://sourceforge.net/projects/catoolkit/
Cassandre,http://www.cassandre.ulg.ac.be/
CDC EZ-Text,http://www.cdc-eztext.com/
CLAN,https://dali.talkbank.org/clan/
Dedoose,https://www.dedoose.com/
f4analyse,https://www.audiotranskription.de
Feldpartitur,https://www.feldpartitur.de/
FreeQDA,https://github.com/produnis/FreeQDA
HyperResearch,http://www.researchware.com/
Kwalitan,https://www.kwalitan.nl/index.php?t=uk
libreQDA,https://gitlab.com/bin-cirst/libreqda/libre-qda/
MAXQDA,https://www.maxqda.com/
MEPA,https://web.archive.org/web/20170612101407/http://edugate.fss.uu.nl/mepa/index.htm
Nvivo,https://lumivero.com/products/nvivo/
NVivotools,https://web.archive.org/web/20210214132148/https://www.barraqda.org/nvivotools/
Observer XT,noldus.com
Open Code,https://web.archive.org/web/20170528202727/http://www.phmed.umu.se/enheter/epidemiologi/forskning/open-code
Qualifiers,https://web.archive.org/web/20160502192223/http://hisii.hawaii.edu/qualifiers/qualifiers.html
Qualrus,https://web.archive.org/web/20170309132201/https://www.ideaworks.com/qualrus
Quirkos,https://www.quirkos.com
Raven's Eye,https://ravens-eye.net/
RQDA,https://github.com/RQDA/RQDA
Saturate,web.archive.org/web/20170612192609/http://www.saturateapp.com/
Sequenceviewer,http://sequenceviewer.nl/
Sonal,http://sonal-info.com/
Symphony,https://activejava.com/
TamSys,https://tamsys.sourceforge.io/
The Ethnograph,https://qualisresearch.com/
Tosmana,https://tosmana.net/
Transana,https://www.transana.com/
WebQDA,https://www.webqda.net/o-webqda/?lang=en
Weft QDA,http://www.pressure.to/qda/
WinRelan,gabek.comhttps://www.gabek.com/?s=WINRELAN&lang=de

